depthInfo,district,val,year
Brønshøj~Husum-60m ~ 79m,Brønshøj~Husum,5563.0,2010.0
Brønshøj~Husum-80m ~ 99m,Brønshøj~Husum,4515.0,2010.0
Brønshøj~Husum-100m ~ 119m,Brønshøj~Husum,1654.0,2010.0
Brønshøj~Husum-120m,Brønshøj~Husum,1795.0,2010.0
Indre By-Under 40m,Indre By,1426.0,2010.0
Indre By-40m ~ 50m,Indre By,7660.0,2010.0
Indre By-60m ~ 79m,Indre By,10488.0,2010.0
Indre By-80m ~ 99m,Indre By,8068.0,2010.0
Indre By-100m ~ 119m,Indre By,3248.0,2010.0
Indre By-120m,Indre By,5250.0,2010.0
Nørrebro-Under 40m,Nørrebro,2183.0,2010.0
Nørrebro-40m ~ 50m,Nørrebro,11291.0,2010.0
Nørrebro-60m ~ 79m,Nørrebro,13773.0,2010.0
Nørrebro-80m ~ 99m,Nørrebro,8324.0,2010.0
Nørrebro-100m ~ 119m,Nørrebro,3304.0,2010.0
Nørrebro-120m,Nørrebro,4038.0,2010.0
Valby-Under 40m,Valby,1252.0,2010.0
Valby-40m ~ 50m,Valby,4755.0,2010.0
Valby-60m ~ 79m,Valby,6441.0,2010.0
Valby-80m ~ 99m,Valby,4763.0,2010.0
Valby-100m ~ 119m,Valby,3053.0,2010.0
Valby-120m,Valby,2892.0,2010.0
Vanløse-Under 40m,Vanløse,674.0,2010.0
Vanløse-40m ~ 50m,Vanløse,5063.0,2010.0
Vanløse-60m ~ 79m,Vanløse,5468.0,2010.0
Vanløse-80m ~ 99m,Vanløse,3335.0,2010.0
Vanløse-100m ~ 119m,Vanløse,1411.0,2010.0
Vanløse-120m,Vanløse,1779.0,2010.0
Vesterbro~kongens Enghave-Under 40m,Vesterbro~kongens Enghave,2939.0,2010.0
Vesterbro~kongens Enghave-40m ~ 50m,Vesterbro~kongens Enghave,6623.0,2010.0
Vesterbro~kongens Enghave-60m ~ 79m,Vesterbro~kongens Enghave,8494.0,2010.0
Vesterbro~kongens Enghave-80m ~ 99m,Vesterbro~kongens Enghave,6227.0,2010.0
Vesterbro~kongens Enghave-100m ~ 119m,Vesterbro~kongens Enghave,2891.0,2010.0
Vesterbro~kongens Enghave-120m,Vesterbro~kongens Enghave,3551.0,2010.0
Østerbro-Under 40m,Østerbro,2212.0,2010.0
Østerbro-40m ~ 50m,Østerbro,11485.0,2010.0
Østerbro-60m ~ 79m,Østerbro,12023.0,2010.0
Østerbro-80m ~ 99m,Østerbro,7542.0,2010.0
Østerbro-100m ~ 119m,Østerbro,4128.0,2010.0
Østerbro-120m,Østerbro,4185.0,2010.0
Amager Vest-Under 40m,Amager Vest,1738.0,2011.0
Amager Vest-40m ~ 50m,Amager Vest,7465.0,2011.0
Amager Vest-60m ~ 79m,Amager Vest,8144.0,2011.0
Amager Vest-80m ~ 99m,Amager Vest,6942.0,2011.0
Amager Vest-100m ~ 119m,Amager Vest,3582.0,2011.0
Amager Vest-120m,Amager Vest,3196.0,2011.0
Amager Øst-Under 40m,Amager Øst,1688.0,2011.0
Amager Øst-40m ~ 50m,Amager Øst,8101.0,2011.0
Amager Øst-60m ~ 79m,Amager Øst,8288.0,2011.0
Amager Øst-80m ~ 99m,Amager Øst,4451.0,2011.0
Amager Øst-100m ~ 119m,Amager Øst,2547.0,2011.0
Amager Øst-120m,Amager Øst,2838.0,2011.0
Bispebjerg-Under 40m,Bispebjerg,1936.0,2011.0
Bispebjerg-40m ~ 50m,Bispebjerg,6285.0,2011.0
Bispebjerg-60m ~ 79m,Bispebjerg,7532.0,2011.0
Bispebjerg-80m ~ 99m,Bispebjerg,4268.0,2011.0
Bispebjerg-100m ~ 119m,Bispebjerg,1801.0,2011.0
Bispebjerg-120m,Bispebjerg,2249.0,2011.0
Brønshøj~Husum-Under 40m,Brønshøj~Husum,1336.0,2011.0
Brønshøj~Husum-40m ~ 50m,Brønshøj~Husum,5897.0,2011.0
Brønshøj~Husum-60m ~ 79m,Brønshøj~Husum,5556.0,2011.0
Brønshøj~Husum-80m ~ 99m,Brønshøj~Husum,4527.0,2011.0
Brønshøj~Husum-100m ~ 119m,Brønshøj~Husum,1671.0,2011.0
Brønshøj~Husum-120m,Brønshøj~Husum,1820.0,2011.0
Indre By-Under 40m,Indre By,1412.0,2011.0
Indre By-40m ~ 50m,Indre By,7605.0,2011.0
Indre By-60m ~ 79m,Indre By,10490.0,2011.0
Indre By-80m ~ 99m,Indre By,8082.0,2011.0
Indre By-100m ~ 119m,Indre By,3288.0,2011.0
Indre By-120m,Indre By,5283.0,2011.0
Nørrebro-Under 40m,Nørrebro,2169.0,2011.0
Nørrebro-40m ~ 50m,Nørrebro,11277.0,2011.0
Nørrebro-60m ~ 79m,Nørrebro,13752.0,2011.0
Nørrebro-80m ~ 99m,Nørrebro,8325.0,2011.0
Nørrebro-100m ~ 119m,Nørrebro,3326.0,2011.0
Nørrebro-120m,Nørrebro,4062.0,2011.0
Valby-Under 40m,Valby,1245.0,2011.0
Valby-40m ~ 50m,Valby,4736.0,2011.0
Valby-60m ~ 79m,Valby,6416.0,2011.0
Valby-80m ~ 99m,Valby,4782.0,2011.0
Valby-100m ~ 119m,Valby,3133.0,2011.0
Valby-120m,Valby,2963.0,2011.0
Vanløse-Under 40m,Vanløse,673.0,2011.0
Vanløse-40m ~ 50m,Vanløse,4937.0,2011.0
Vanløse-60m ~ 79m,Vanløse,5516.0,2011.0
Vanløse-80m ~ 99m,Vanløse,3392.0,2011.0
Vanløse-100m ~ 119m,Vanløse,1458.0,2011.0
Vanløse-120m,Vanløse,1808.0,2011.0
Vesterbro~kongens Enghave-Under 40m,Vesterbro~kongens Enghave,2935.0,2011.0
Vesterbro~kongens Enghave-40m ~ 50m,Vesterbro~kongens Enghave,6580.0,2011.0
Vesterbro~kongens Enghave-60m ~ 79m,Vesterbro~kongens Enghave,8493.0,2011.0
Vesterbro~kongens Enghave-80m ~ 99m,Vesterbro~kongens Enghave,6247.0,2011.0
Vesterbro~kongens Enghave-100m ~ 119m,Vesterbro~kongens Enghave,2911.0,2011.0
Vesterbro~kongens Enghave-120m,Vesterbro~kongens Enghave,3566.0,2011.0
Østerbro-Under 40m,Østerbro,2204.0,2011.0
Østerbro-40m ~ 50m,Østerbro,11451.0,2011.0
Østerbro-60m ~ 79m,Østerbro,12013.0,2011.0
Østerbro-80m ~ 99m,Østerbro,7603.0,2011.0
Østerbro-100m ~ 119m,Østerbro,4168.0,2011.0
