depthInfo,district,val,year
østerbro-single-Without Kids,østerbro,19371.0,2011.0
amager_vest-couple-With Kids,amager_vest,4541.0,2012.0
amager_vest-couple-Without Kids,amager_vest,5403.0,2012.0
amager_vest-single-With Kids,amager_vest,2159.0,2012.0
amager_vest-single-Without Kids,amager_vest,13240.0,2012.0
amager_øst-couple-With Kids,amager_øst,3746.0,2012.0
amager_øst-couple-Without Kids,amager_øst,5039.0,2012.0
amager_øst-single-With Kids,amager_øst,1385.0,2012.0
amager_øst-single-Without Kids,amager_øst,13614.0,2012.0
bispebjerg-couple-With Kids,bispebjerg,2653.0,2012.0
bispebjerg-couple-Without Kids,bispebjerg,4040.0,2012.0
bispebjerg-single-With Kids,bispebjerg,1604.0,2012.0
bispebjerg-single-Without Kids,bispebjerg,11558.0,2012.0
brønshøj husum-couple-With Kids,brønshøj husum,2392.0,2012.0
brønshøj husum-couple-Without Kids,brønshøj husum,3532.0,2012.0
brønshøj husum-single-With Kids,brønshøj husum,1199.0,2012.0
brønshøj husum-single-Without Kids,brønshøj husum,9433.0,2012.0
indre_by-couple-With Kids,indre_by,4376.0,2012.0
indre_by-couple-Without Kids,indre_by,5767.0,2012.0
indre_by-single-With Kids,indre_by,2146.0,2012.0
indre_by-single-Without Kids,indre_by,15995.0,2012.0
nørrebro-couple-With Kids,nørrebro,5732.0,2012.0
nørrebro-couple-Without Kids,nørrebro,7083.0,2012.0
nørrebro-single-With Kids,nørrebro,2526.0,2012.0
nørrebro-single-Without Kids,nørrebro,19476.0,2012.0
valby-couple-With Kids,valby,3459.0,2012.0
valby-couple-Without Kids,valby,4306.0,2012.0
valby-single-With Kids,valby,1243.0,2012.0
valby-single-Without Kids,valby,10110.0,2012.0
vanløse-couple-With Kids,vanløse,2403.0,2012.0
vanløse-couple-Without Kids,vanløse,3205.0,2012.0
vanløse-single-With Kids,vanløse,1054.0,2012.0
vanløse-single-Without Kids,vanløse,8124.0,2012.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,3981.0,2012.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5405.0,2012.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1783.0,2012.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,14327.0,2012.0
østerbro-couple-With Kids,østerbro,6181.0,2012.0
østerbro-couple-Without Kids,østerbro,7262.0,2012.0
østerbro-single-With Kids,østerbro,2686.0,2012.0
østerbro-single-Without Kids,østerbro,18851.0,2012.0
amager_vest-couple-With Kids,amager_vest,4800.0,2013.0
amager_vest-couple-Without Kids,amager_vest,5533.0,2013.0
amager_vest-single-With Kids,amager_vest,2207.0,2013.0
amager_vest-single-Without Kids,amager_vest,13382.0,2013.0
amager_øst-couple-With Kids,amager_øst,3866.0,2013.0
amager_øst-couple-Without Kids,amager_øst,5077.0,2013.0
amager_øst-single-With Kids,amager_øst,1434.0,2013.0
amager_øst-single-Without Kids,amager_øst,13462.0,2013.0
bispebjerg-couple-With Kids,bispebjerg,2732.0,2013.0
bispebjerg-couple-Without Kids,bispebjerg,4093.0,2013.0
bispebjerg-single-With Kids,bispebjerg,1630.0,2013.0
bispebjerg-single-Without Kids,bispebjerg,11678.0,2013.0
brønshøj husum-couple-With Kids,brønshøj husum,2475.0,2013.0
brønshøj husum-couple-Without Kids,brønshøj husum,3591.0,2013.0
brønshøj husum-single-With Kids,brønshøj husum,1227.0,2013.0
brønshøj husum-single-Without Kids,brønshøj husum,9480.0,2013.0
indre_by-couple-With Kids,indre_by,4631.0,2013.0
indre_by-couple-Without Kids,indre_by,6047.0,2013.0
indre_by-single-With Kids,indre_by,2179.0,2013.0
indre_by-single-Without Kids,indre_by,16319.0,2013.0
nørrebro-couple-With Kids,nørrebro,5964.0,2013.0
nørrebro-couple-Without Kids,nørrebro,7324.0,2013.0
nørrebro-single-With Kids,nørrebro,2665.0,2013.0
nørrebro-single-Without Kids,nørrebro,19745.0,2013.0
valby-couple-With Kids,valby,3643.0,2013.0
valby-couple-Without Kids,valby,4370.0,2013.0
valby-single-With Kids,valby,1274.0,2013.0
valby-single-Without Kids,valby,10154.0,2013.0
vanløse-couple-With Kids,vanløse,2420.0,2013.0
vanløse-couple-Without Kids,vanløse,3249.0,2013.0
vanløse-single-With Kids,vanløse,1085.0,2013.0
vanløse-single-Without Kids,vanløse,7962.0,2013.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,4095.0,2013.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5505.0,2013.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1820.0,2013.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,14050.0,2013.0
østerbro-couple-With Kids,østerbro,6369.0,2013.0
østerbro-couple-Without Kids,østerbro,7316.0,2013.0
østerbro-single-With Kids,østerbro,2746.0,2013.0
østerbro-single-Without Kids,østerbro,18676.0,2013.0
amager_vest-couple-With Kids,amager_vest,4917.0,2014.0
amager_vest-couple-Without Kids,amager_vest,5571.0,2014.0
amager_vest-single-With Kids,amager_vest,2284.0,2014.0
amager_vest-single-Without Kids,amager_vest,13116.0,2014.0
amager_øst-couple-With Kids,amager_øst,3898.0,2014.0
amager_øst-couple-Without Kids,amager_øst,5225.0,2014.0
amager_øst-single-With Kids,amager_øst,1481.0,2014.0
amager_øst-single-Without Kids,amager_øst,13266.0,2014.0
bispebjerg-couple-With Kids,bispebjerg,2755.0,2014.0
bispebjerg-couple-Without Kids,bispebjerg,4196.0,2014.0
bispebjerg-single-With Kids,bispebjerg,1617.0,2014.0
bispebjerg-single-Without Kids,bispebjerg,11516.0,2014.0
brønshøj husum-couple-With Kids,brønshøj husum,2522.0,2014.0
brønshøj husum-couple-Without Kids,brønshøj husum,3640.0,2014.0
brønshøj husum-single-With Kids,brønshøj husum,1229.0,2014.0
brønshøj husum-single-Without Kids,brønshøj husum,9252.0,2014.0
indre_by-couple-With Kids,indre_by,4755.0,2014.0
indre_by-couple-Without Kids,indre_by,6111.0,2014.0
indre_by-single-With Kids,indre_by,2221.0,2014.0
indre_by-single-Without Kids,indre_by,15946.0,2014.0
nørrebro-couple-With Kids,nørrebro,6030.0,2014.0
nørrebro-couple-Without Kids,nørrebro,7395.0,2014.0
nørrebro-single-With Kids,nørrebro,2690.0,2014.0
nørrebro-single-Without Kids,nørrebro,19460.0,2014.0
valby-couple-With Kids,valby,3764.0,2014.0
valby-couple-Without Kids,valby,4492.0,2014.0
valby-single-With Kids,valby,1270.0,2014.0
valby-single-Without Kids,valby,9998.0,2014.0
vanløse-couple-With Kids,vanløse,2415.0,2014.0
vanløse-couple-Without Kids,vanløse,3334.0,2014.0
vanløse-single-With Kids,vanløse,1077.0,2014.0
vanløse-single-Without Kids,vanløse,7848.0,2014.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,4213.0,2014.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5529.0,2014.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1843.0,2014.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,13974.0,2014.0
østerbro-couple-With Kids,østerbro,6478.0,2014.0
østerbro-couple-Without Kids,østerbro,7418.0,2014.0
østerbro-single-With Kids,østerbro,2806.0,2014.0
østerbro-single-Without Kids,østerbro,18489.0,2014.0
