depthInfo,district,val,year
Vanløse-single-Without Kids,Vanløse,8315.0,2011.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,3873.0,2011.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5293.0,2011.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1759.0,2011.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,14638.0,2011.0
Østerbro-couple-With Kids,Østerbro,5953.0,2011.0
Østerbro-couple-Without Kids,Østerbro,7191.0,2011.0
Østerbro-single-With Kids,Østerbro,2631.0,2011.0
Østerbro-single-Without Kids,Østerbro,19371.0,2011.0
Amager Vest-couple-With Kids,Amager Vest,4541.0,2012.0
Amager Vest-couple-Without Kids,Amager Vest,5403.0,2012.0
Amager Vest-single-With Kids,Amager Vest,2159.0,2012.0
Amager Vest-single-Without Kids,Amager Vest,13240.0,2012.0
Amager Øst-couple-With Kids,Amager Øst,3746.0,2012.0
Amager Øst-couple-Without Kids,Amager Øst,5039.0,2012.0
Amager Øst-single-With Kids,Amager Øst,1385.0,2012.0
Amager Øst-single-Without Kids,Amager Øst,13614.0,2012.0
Bispebjerg-couple-With Kids,Bispebjerg,2653.0,2012.0
Bispebjerg-couple-Without Kids,Bispebjerg,4040.0,2012.0
Bispebjerg-single-With Kids,Bispebjerg,1604.0,2012.0
Bispebjerg-single-Without Kids,Bispebjerg,11558.0,2012.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2392.0,2012.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3532.0,2012.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1199.0,2012.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,9433.0,2012.0
Indre By-couple-With Kids,Indre By,4376.0,2012.0
Indre By-couple-Without Kids,Indre By,5767.0,2012.0
Indre By-single-With Kids,Indre By,2146.0,2012.0
Indre By-single-Without Kids,Indre By,15995.0,2012.0
Nørrebro-couple-With Kids,Nørrebro,5732.0,2012.0
Nørrebro-couple-Without Kids,Nørrebro,7083.0,2012.0
Nørrebro-single-With Kids,Nørrebro,2526.0,2012.0
Nørrebro-single-Without Kids,Nørrebro,19476.0,2012.0
Valby-couple-With Kids,Valby,3459.0,2012.0
Valby-couple-Without Kids,Valby,4306.0,2012.0
Valby-single-With Kids,Valby,1243.0,2012.0
Valby-single-Without Kids,Valby,10110.0,2012.0
Vanløse-couple-With Kids,Vanløse,2403.0,2012.0
Vanløse-couple-Without Kids,Vanløse,3205.0,2012.0
Vanløse-single-With Kids,Vanløse,1054.0,2012.0
Vanløse-single-Without Kids,Vanløse,8124.0,2012.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,3981.0,2012.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5405.0,2012.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1783.0,2012.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,14327.0,2012.0
Østerbro-couple-With Kids,Østerbro,6181.0,2012.0
Østerbro-couple-Without Kids,Østerbro,7262.0,2012.0
Østerbro-single-With Kids,Østerbro,2686.0,2012.0
Østerbro-single-Without Kids,Østerbro,18851.0,2012.0
Amager Vest-couple-With Kids,Amager Vest,4800.0,2013.0
Amager Vest-couple-Without Kids,Amager Vest,5533.0,2013.0
Amager Vest-single-With Kids,Amager Vest,2207.0,2013.0
Amager Vest-single-Without Kids,Amager Vest,13382.0,2013.0
Amager Øst-couple-With Kids,Amager Øst,3866.0,2013.0
Amager Øst-couple-Without Kids,Amager Øst,5077.0,2013.0
Amager Øst-single-With Kids,Amager Øst,1434.0,2013.0
Amager Øst-single-Without Kids,Amager Øst,13462.0,2013.0
Bispebjerg-couple-With Kids,Bispebjerg,2732.0,2013.0
Bispebjerg-couple-Without Kids,Bispebjerg,4093.0,2013.0
Bispebjerg-single-With Kids,Bispebjerg,1630.0,2013.0
Bispebjerg-single-Without Kids,Bispebjerg,11678.0,2013.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2475.0,2013.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3591.0,2013.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1227.0,2013.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,9480.0,2013.0
Indre By-couple-With Kids,Indre By,4631.0,2013.0
Indre By-couple-Without Kids,Indre By,6047.0,2013.0
Indre By-single-With Kids,Indre By,2179.0,2013.0
Indre By-single-Without Kids,Indre By,16319.0,2013.0
Nørrebro-couple-With Kids,Nørrebro,5964.0,2013.0
Nørrebro-couple-Without Kids,Nørrebro,7324.0,2013.0
Nørrebro-single-With Kids,Nørrebro,2665.0,2013.0
Nørrebro-single-Without Kids,Nørrebro,19745.0,2013.0
Valby-couple-With Kids,Valby,3643.0,2013.0
Valby-couple-Without Kids,Valby,4370.0,2013.0
Valby-single-With Kids,Valby,1274.0,2013.0
Valby-single-Without Kids,Valby,10154.0,2013.0
Vanløse-couple-With Kids,Vanløse,2420.0,2013.0
Vanløse-couple-Without Kids,Vanløse,3249.0,2013.0
Vanløse-single-With Kids,Vanløse,1085.0,2013.0
Vanløse-single-Without Kids,Vanløse,7962.0,2013.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,4095.0,2013.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5505.0,2013.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1820.0,2013.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,14050.0,2013.0
Østerbro-couple-With Kids,Østerbro,6369.0,2013.0
Østerbro-couple-Without Kids,Østerbro,7316.0,2013.0
Østerbro-single-With Kids,Østerbro,2746.0,2013.0
Østerbro-single-Without Kids,Østerbro,18676.0,2013.0
Amager Vest-couple-With Kids,Amager Vest,4917.0,2014.0
Amager Vest-couple-Without Kids,Amager Vest,5571.0,2014.0
Amager Vest-single-With Kids,Amager Vest,2284.0,2014.0
Amager Vest-single-Without Kids,Amager Vest,13116.0,2014.0
Amager Øst-couple-With Kids,Amager Øst,3898.0,2014.0
Amager Øst-couple-Without Kids,Amager Øst,5225.0,2014.0
Amager Øst-single-With Kids,Amager Øst,1481.0,2014.0
Amager Øst-single-Without Kids,Amager Øst,13266.0,2014.0
Bispebjerg-couple-With Kids,Bispebjerg,2755.0,2014.0
Bispebjerg-couple-Without Kids,Bispebjerg,4196.0,2014.0
Bispebjerg-single-With Kids,Bispebjerg,1617.0,2014.0
Bispebjerg-single-Without Kids,Bispebjerg,11516.0,2014.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2522.0,2014.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3640.0,2014.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1229.0,2014.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,9252.0,2014.0
Indre By-couple-With Kids,Indre By,4755.0,2014.0
Indre By-couple-Without Kids,Indre By,6111.0,2014.0
Indre By-single-With Kids,Indre By,2221.0,2014.0
Indre By-single-Without Kids,Indre By,15946.0,2014.0
Nørrebro-couple-With Kids,Nørrebro,6030.0,2014.0
Nørrebro-couple-Without Kids,Nørrebro,7395.0,2014.0
Nørrebro-single-With Kids,Nørrebro,2690.0,2014.0
Nørrebro-single-Without Kids,Nørrebro,19460.0,2014.0
Valby-couple-With Kids,Valby,3764.0,2014.0
Valby-couple-Without Kids,Valby,4492.0,2014.0
Valby-single-With Kids,Valby,1270.0,2014.0
Valby-single-Without Kids,Valby,9998.0,2014.0
Vanløse-couple-With Kids,Vanløse,2415.0,2014.0
Vanløse-couple-Without Kids,Vanløse,3334.0,2014.0
Vanløse-single-With Kids,Vanløse,1077.0,2014.0
Vanløse-single-Without Kids,Vanløse,7848.0,2014.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,4213.0,2014.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5529.0,2014.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1843.0,2014.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,13974.0,2014.0
Østerbro-couple-With Kids,Østerbro,6478.0,2014.0
Østerbro-couple-Without Kids,Østerbro,7418.0,2014.0
Østerbro-single-With Kids,Østerbro,2806.0,2014.0
Østerbro-single-Without Kids,Østerbro,18489.0,2014.0
