aar,district,antal_beboere,antal_boliger,alder_antal_0_5,alder_antal_6_17,alder_antal_18_29,alder_antal_30_39,alder_antal_40_49,alder_antal_50_64,alder_antal_over_65,antal_tilkn_arb_markedet,antal_udf_arb_markedet,antal_gymnasial_udd,antal_erh_faglig_udd,antal_kort_viderg_udd,antal_mellemlang_viderg_udd,antal_lang_viderg_udd,antal_ingen_udd,antal_under_udd,antal_virksomheder,antal_ivaerksaettere,antal_handel_transport,antal_inform_kommunikation,antal_finansiering_forsikring,antal_ejendomshandel_udlejning,antal_erhvervsservice,antal_offentlig_administrat_mv,antal_undervisning,antal_sundhed_socialvaesen,antal_kultur_forlyst_a_service,antal_landbrug_uoplyst,antal_arbejdspladser_ialt,antal_selvstaendige,antal_lonmodtagere,antal_lav_indkomst,antal_middel_indkomst,antal_hoj_indkomst,antal_dansk,antal_vestlig,antal_ikke_vestlig,antal_enlige_u_born,antal_enlige_m_born,antal_par_u_born,antal_par_m_born,antal_ovrige_husstande,antal_m_install_mangler,antal_u_install_mangler,bolig_antal_u_40_m2,bolig_antal_40_59_m2,bolig_antal_60_79_m2,bolig_antal_80_99_m2,bolig_antal_100_119_m2,bolig_antal_over_120_m2,antal_almen_bolig,antal_ejerbolig,antal_pr_andelsbolig,antal_off_ejet_bolig,antal_bolig_for_1900,antal_bolig_aar_1900_1929,antal_bolig_aar_1930_1949,antal_bolig_aar_1950_1979,antal_bolig_efter_1980,antal_nettotilflytning
2010,brønshøj-husum,36605,20792,2718.0,3579.0,10490.0,8002.0,4479.0,4323.0,3014.0,23427.0,4953.0,2624.0,3776.0,892.0,3584.0,4066.0,5919.0,6998.0,3358.0,393.0,5124.0,3109.0,1815.0,481.0,2671.0,2322.0,1348.0,1942.0,2028.0,189.0,21928.0,1277.0,17865.0,12249.0,9117.0,9686.0,26920.0,2965.0,6720.0,9985.0,1180.0,3396.0,2293.0,2736.0,3241.0,17551.0,1335.0,5930.0,5563.0,4515.0,1654.0,1795.0,3511.0,2600.0,8585.0,22.0,5544.0,7196.0,2797.0,2412.0,2843.0,445.0
2010,indre_by,65357,36140,4742.0,6425.0,16736.0,13401.0,8128.0,9058.0,6867.0,40496.0,8968.0,4769.0,6620.0,1593.0,6660.0,7580.0,10371.0,10795.0,10634.0,914.0,20587.0,4951.0,7249.0,1717.0,10611.0,7994.0,5318.0,7352.0,8161.0,441.0,75970.0,2711.0,30928.0,20315.0,15896.0,19116.0,49652.0,5289.0,10416.0,16823.0,2180.0,5924.0,4263.0,4903.0,5300.0,30840.0,1426.0,7660.0,10488.0,8068.0,3248.0,5250.0,6766.0,5415.0,12107.0,1468.0,14035.0,9749.0,4499.0,4005.0,3852.0,1016.0
2010,nørrebro,76059,42913,5954.0,7682.0,18243.0,15548.0,9832.0,10537.0,8263.0,46809.0,9673.0,4738.0,10094.0,2045.0,7161.0,7361.0,12701.0,11208.0,5836.0,733.0,8532.0,2448.0,1033.0,511.0,3584.0,2326.0,2358.0,4155.0,2195.0,254.0,31432.0,2519.0,36482.0,20534.0,19900.0,22903.0,58445.0,4858.0,12756.0,20584.0,2555.0,7276.0,5410.0,4669.0,4567.0,38346.0,2183.0,11291.0,13773.0,8324.0,3304.0,4038.0,10451.0,9315.0,12818.0,174.0,4934.0,11712.0,15284.0,9234.0,1749.0,807.0
2010,valby,41150,23156,3278.0,3896.0,9691.0,8567.0,5426.0,6212.0,4080.0,26301.0,4904.0,2613.0,5237.0,1094.0,4681.0,4839.0,5844.0,6213.0,3252.0,392.0,2549.0,3947.0,433.0,742.0,4790.0,1273.0,2229.0,11961.0,2323.0,169.0,30940.0,1547.0,20903.0,10934.0,9422.0,14240.0,34250.0,2990.0,3910.0,10449.0,1234.0,4294.0,3260.0,2377.0,3137.0,20019.0,1252.0,4755.0,6441.0,4763.0,3053.0,2892.0,2851.0,5054.0,8307.0,674.0,2794.0,9131.0,3699.0,3862.0,3670.0,350.0
2010,vanløse,31193,17730,2389.0,3014.0,7769.0,6213.0,4069.0,4607.0,3132.0,19764.0,3907.0,1937.0,4164.0,847.0,3202.0,3374.0,4854.0,4776.0,2430.0,266.0,1632.0,540.0,1051.0,200.0,1218.0,5552.0,692.0,1836.0,1541.0,107.0,14798.0,1033.0,15681.0,8592.0,7655.0,10079.0,25024.0,2146.0,4023.0,8355.0,995.0,3151.0,2329.0,1854.0,1484.0,16246.0,674.0,5063.0,5468.0,3335.0,1411.0,1779.0,3511.0,3545.0,6527.0,15.0,2699.0,4011.0,7425.0,1714.0,1881.0,233.0
2010,vesterbro-kongens_enghave,53996,30725,3952.0,5165.0,14032.0,10881.0,6928.0,7606.0,5432.0,34065.0,6974.0,3682.0,6547.0,1414.0,5180.0,5550.0,8611.0,9195.0,5452.0,561.0,7657.0,3941.0,1761.0,744.0,5497.0,3197.0,2707.0,2626.0,3324.0,294.0,32979.0,1951.0,26331.0,16117.0,13746.0,15934.0,42823.0,3809.0,7364.0,14584.0,1686.0,5338.0,3791.0,3438.0,3859.0,26866.0,2939.0,6623.0,8494.0,6227.0,2891.0,3551.0,5486.0,4525.0,10916.0,723.0,7419.0,8953.0,5022.0,6928.0,2403.0,798.0
2010,østerbro,73971,41575,5886.0,7729.0,15262.0,14761.0,10135.0,11390.0,8808.0,44565.0,9322.0,4339.0,10917.0,2104.0,7446.0,6596.0,12652.0,8689.0,4856.0,620.0,6955.0,7444.0,4734.0,997.0,3389.0,1183.0,980.0,4263.0,992.0,289.0,36033.0,2394.0,35481.0,17906.0,19280.0,24363.0,59138.0,4131.0,10702.0,19764.0,2597.0,7151.0,5754.0,3964.0,3850.0,37725.0,2212.0,11485.0,12023.0,7542.0,4128.0,4185.0,10474.0,10509.0,12032.0,1077.0,1646.0,9266.0,17710.0,7814.0,5139.0,1106.0
2011,amager_vest,57595,31067,4863.0,6115.0,14389.0,11922.0,7336.0,7612.0,5358.0,35404.0,7581.0,3401.0,8077.0,1538.0,5250.0,5322.0,9980.0,8576.0,4194.0,504.0,6250.0,1158.0,399.0,476.0,8984.0,2506.0,1505.0,3761.0,1713.0,234.0,27750.0,1792.0,27751.0,15534.0,14277.0,17896.0,43878.0,4181.0,9536.0,13522.0,2117.0,5316.0,4420.0,3658.0,4110.0,26957.0,1738.0,7465.0,8144.0,6942.0,3582.0,3196.0,6229.0,7414.0,9378.0,475.0,3831.0,8091.0,8688.0,5095.0,5362.0,1073.0
2011,amager_øst,48582,27913,3721.0,4327.0,12031.0,10046.0,6245.0,6872.0,5340.0,31011.0,5717.0,3003.0,7341.0,1479.0,4721.0,4724.0,7181.0,7440.0,3440.0,411.0,2753.0,2885.0,1233.0,727.0,3177.0,1756.0,3027.0,2709.0,2240.0,196.0,21836.0,1473.0,24902.0,12816.0,12170.0,16040.0,40760.0,3342.0,4480.0,13815.0,1387.0,5008.0,3663.0,2712.0,2941.0,24972.0,1688.0,8101.0,8288.0,4451.0,2547.0,2838.0,3280.0,6968.0,10374.0,535.0,799.0,8527.0,12098.0,4083.0,2406.0,395.0
2011,bispebjerg,41101,24071,2955.0,3767.0,10680.0,7584.0,5222.0,6148.0,4745.0,24922.0,6063.0,2416.0,5221.0,1037.0,3941.0,3783.0,7215.0,6630.0,4044.0,397.0,6397.0,2885.0,2945.0,1074.0,4485.0,1768.0,1801.0,2700.0,2076.0,172.0,28369.0,1302.0,19088.0,12193.0,10974.0,11851.0,31886.0,2883.0,6332.0,12031.0,1578.0,4040.0,2628.0,2444.0,1907.0,22164.0,1936.0,6285.0,7532.0,4268.0,1801.0,2249.0,7392.0,3833.0,4972.0,347.0,1435.0,5914.0,10314.0,3864.0,2544.0,757.0
